Date,1617.T,1617.T.1,1618.T,1618.T.1,1619.T,1619.T.1,1620.T,1620.T.1,1621.T,1621.T.1,1622.T,1622.T.1,1623.T,1623.T.1,1624.T,1624.T.1,1625.T,1625.T.1,1626.T,1626.T.1,1627.T,1627.T.1,1628.T,1628.T.1,1629.T,1629.T.1,1630.T,1630.T.1,1631.T,1631.T.1,1632.T,1632.T.1,1633.T,1633.T.1
2010-01-04,-0.0013568521031208432,,0.0017050298380222614,,0.0,,0.0,,-0.00998185117967335,,0.00543900543900539,,-0.006317689530686001,,0.004830917874396135,,0.001906577693040939,,0.0,,-0.0008928571428572141,,0.0,,0.0005405405405405157,,-0.003444316877152753,,-0.014888337468982627,,-0.002392344497607634,,0.0,
2010-01-05,-0.005420054200541984,,0.02018502943650128,,0.0008417508417508232,,-0.006346328195829513,,-0.0063291139240506215,,-0.013117283950617332,,0.01749663526244951,,0.0,,0.005644402634054447,,0.0023148148148148125,,0.0,,-0.00495049504950504,,-0.0026455026455026428,,0.0011454753722795418,,-0.0037453183520598267,,0.00588235294117652,,-0.0006064281382656837,
2010-01-06,0.0034036759700476005,,0.0032894736842105717,,-0.004180602006688983,,0.003649635036496383,,0.007272727272727329,,0.006269592476489077,,0.008896797153024815,,0.0029673590504451183,,0.0009433962264151102,,0.009195402298850599,,0.007111111111111193,,0.0069033530571992905,,0.0073761854583773035,,0.006818181818181734,,0.026151930261519296,,0.022352941176470676,,0.015672091621458686,
2010-01-07,0.0,,-0.0024549918166939526,,0.001672240802675556,,-0.0027322404371584513,,-0.0009057971014493228,,-0.007800312012480464,,-0.003930131004366781,,-0.0094451003541914,,-0.005655042412818134,,0.0011402508551881282,,0.0035242290748898073,,0.0108267716535434,,-0.005741127348642969,,0.0011312217194570239,,0.0047904191616766935,,0.007954545454545487,,-0.005297233666862865,
2010-01-08,-0.0020325203252032644,,-0.013945857260049281,,-0.00247524752475243,,-0.0036036036036036657,,0.0036496350364963563,,0.006177606177606135,,-0.01048034934497825,,0.01058823529411763,,0.015165876777251253,,-0.001132502831257067,,0.007036059806508466,,0.013631937682570636,,0.003640145605824098,,-0.010078387458006662,,0.0,,0.005617977528089821,,0.005917159763313575,
2010-01-12,0.004054054054054102,,0.014937759336099678,,0.010788381742738579,,0.011807447774750188,,0.0,,0.013657056145675308,,0.014782608695652247,,0.016470588235294053,,0.0083955223880597,,0.0,,0.0026200873362445774,,0.0,,0.01706308169596689,,-0.0011299435028248384,,0.014371257485029912,,0.007777777777777714,,0.01287302516091284,
2010-01-13,-0.0006711409395973202,,0.0,,0.0,,0.0,,0.009149130832570938,,-0.018518518518518552,,-0.012521588946459493,,-0.0023068050749711056,,-0.0018587360594795117,,0.015927189988623393,,0.0017421602787456604,,-0.000961538461538415,,-0.008247422680412413,,0.0,,-0.008264462809917307,,-0.015350877192982492,,-0.015063731170335999,
2010-01-14,0.006854009595613407,,-0.00822368421052626,,-1.1884380586697197e-16,,0.037683823529411666,,0.010968921389396693,,0.002991772625280617,,0.0,,0.027218934911242606,,0.04789272030651343,,0.0,,0.004340277777777769,,-0.0038240917782027405,,0.023388773388773484,,0.0,,0.0023391812865497827,,0.002207505518763811,,0.016265060240963813,
2010-01-15,0.032661570535093845,,-0.0025125628140703843,,0.03735144312393896,,0.00800000000000003,,0.026951672862453615,,0.0052005943536403915,,-0.004385964912280696,,0.00572082379862705,,0.02230483271375473,,0.03181818181818191,,0.019520851818988494,,0.0009587727708533565,,0.005524861878453146,,0.0,,0.02790697674418598,,0.005524861878453053,,0.044323011536126306,
2010-01-18,-0.0033738191632928386,,-0.015075376884422153,,0.0016501650165016337,,0.0,,0.01951672862453525,,0.0029717682020802077,,-0.005744586831639388,,0.014551804423748484,,0.020560747663551524,,0.0033333333333333964,,0.009606986899563255,,-0.0038314176245210674,,-0.0005058168942843578,,0.0044692737430167715,,-0.002288329519450827,,0.0,,-0.004093567251462025,
