Ticker,1617.T,1617.T,1618.T,1618.T,1619.T,1619.T,1620.T,1620.T,1621.T,1621.T,1622.T,1622.T,1623.T,1623.T,1624.T,1624.T,1625.T,1625.T,1626.T,1626.T,1627.T,1627.T,1628.T,1628.T,1630.T,1630.T,1631.T,1631.T,1632.T,1632.T,1633.T,1633.T
ReturnType,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc,cc,oc
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,,-0.0013568521031207537,,0.0017050298380223428,,-1.1102230246251565e-16,,0.0,,-0.009981851179673318,,0.00543900543900544,,-0.006317689530685899,,0.004830917874396157,,0.0019065776930409228,,0.0,,-0.0008928571428572507,,0.0,,-0.003444316877152631,,-0.01488833746898266,,-0.0023923444976076125,,0.0
2010-01-05,-0.002717247120128108,-0.005420054200541924,0.03234037400882772,0.020185029436501356,0.014964242288309393,0.0008417508417508657,0.005504343984352511,-0.006346328195829476,0.007332505252661381,-0.006329113924050667,-0.011592070582220892,-0.013117283950617176,0.02997273147760038,0.01749663526244949,0.01622608828112493,0.0,0.017126444674285812,0.005644402634054524,0.01040745484722616,0.0023148148148148806,0.008042685751998846,0.0,0.008024117452270385,-0.004950495049504955,0.006912491334984505,0.001145475372279492,0.005037791272782144,-0.0037453183520598232,0.02517982086088777,0.00588235294117645,0.005491174787597419,-0.0006064281382656134
2010-01-06,0.004087062374686923,0.003403675970047537,0.005770810600126186,0.00328947368421062,0.0016819712415134802,-0.004180602006689016,0.003649662125384756,0.0036496350364962904,0.008189253939423713,0.0072727272727273196,0.003909453566703025,0.006269592476489061,0.0,0.008896797153024938,-0.000591463411392934,0.0029673590504450953,-0.007483597688032972,0.0009433962264151496,0.01385698386600187,0.009195402298850519,0.004432896542980513,0.007111111111111068,0.015920423222177682,0.006903353057199135,0.013729800598825337,0.006818181818181834,0.03258140046833202,0.026151930261519185,0.01637435845572166,0.022352941176470686,0.022451544328187634,0.01567209162145855
2010-01-07,-0.00407042628855403,0.0,-0.000819707482939025,-0.002454991816693952,0.005877176162364606,0.0016722408026754731,-0.0045452360460390695,-0.002732240437158362,-0.004512643617930023,-0.0009057971014493349,-0.009345858382683758,-0.007800312012480437,0.00573219346382392,-0.003930131004366899,-0.007100621658654993,-0.009445100354191216,-0.0056550447167168505,-0.005655042412818001,0.0,0.0011402508551880963,0.005295431698284947,0.0035242290748898064,0.005876388705738922,0.010826771653543288,-0.001128541625098567,0.0011312217194570096,0.018203812121802887,0.004790419161676551,0.02071328041034981,0.007954545454545547,0.0029670915726400793,-0.005297233666862855
2010-01-08,0.003406029263435695,-0.00203252032520318,-0.013945952897709613,-0.013945857260049266,0.009182087774634251,-0.0024752475247525885,0.010045649764828468,-0.003603603603603678,-0.002719812292698909,0.0036496350364962904,0.024371114878090072,0.00617760617760621,-0.006576356017955698,-0.010480349344978213,0.023837926982139157,0.010588235294117565,0.01516581173486875,0.01516587677725112,0.004555749086245342,-0.0011325028312570984,0.005267851448847338,0.0070360598065084545,0.013632031946104961,0.013631937682570427,-0.0011299515012761496,-0.01007838745800671,0.007151580512348543,0.0,0.009019204275919401,0.00561797752808979,0.005917184029288869,0.00591715976331364
2010-01-12,0.008825615779320506,0.004054054054054124,0.017470931631968556,0.014937759336099532,0.007444205434824491,0.010788381742738551,0.007233213606309352,0.01180744777475029,0.0,0.0,0.025326316637082735,0.01365705614567525,0.030008761578257603,0.014782608695652177,0.005820708978901523,0.016470588235294015,0.009337107680282175,0.008395522388059629,0.0057483146505781235,0.0,0.002620123304080124,0.0026200873362445254,0.006724287809623419,0.0,0.0,-0.001129943502824915,0.0023665727854440544,0.014371257485030098,0.013407757856040536,0.007777777777777883,0.018235368459777135,0.012873025160912821
2010-01-13,0.0020186922075868807,-0.0006711409395973034,-0.017170939324965495,0.0,-0.004925900454577747,0.0,0.003590579652017478,0.0,0.002727229845958856,0.009149130832570851,-0.008233543350322003,-0.01851851851851838,-0.020137095183541454,-0.012521588946459494,0.001157449464690874,-0.0023068050749710522,-0.006475262463276454,-0.0018587360594795044,0.006684974242592956,0.015927189988623525,0.0017420804060088724,0.0017421602787457413,-0.00858801110858265,-0.0009615384615384581,0.0124431896372581,0.0,-0.00826447738400593,-0.008264462809917328,-0.009922776211329198,-0.015350877192982448,-0.01790879498456288,-0.015063731170336103
2010-01-14,-0.013431800390731219,0.006854009595613331,0.003327674241719203,-0.008223684210526327,-0.003300232439486517,0.0,0.009839208153598733,0.037683823529411686,0.002719931384225882,0.010968921389396646,0.01207540799479112,0.0029917726252803867,-0.00043723133855799734,0.0,0.0034683339727721307,0.02721893491124261,0.018621837848416645,0.04789272030651337,0.0022395106088257677,0.0,0.006087040348775163,0.004340277777777679,0.0028874473979698667,-0.003824091778202643,-0.006334984002717148,0.0,0.020238230011354608,0.002339181286549863,0.011136124377368661,0.002207505518763808,-0.007646951801753454,0.01626506024096397
